Gross Sales(USD),Gross Sales Margin(%),Gross Sales Margin(%) LY,MonthName,ItemNoDescription
,,50.1,January 2018,803105-FLOOR SCALE ASM OH 5' X 5' 5K LED
$7000,29.0,,January 2018,"806923-BENCH SCALE ASM, 16"" X 16"", INF, NO NECK"
,,41.0,January 2018,"811384-BENCH SCALE ASM 20"" X 20"" LED NO NECK"
,,61.2,January 2018,"910165-RAMP WELDMENT, W60"", L48"", H3.25"", DURAW"
$1442,41.1,37.8,January 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
$3070,42.4,,January 2018,"920113-DURAWEIGH SCALE , 8"" X 8"", GII, BATT"
$2890,39.2,37.7,January 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
$2523,40.7,,January 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
,,27.3,January 2018,"920227-FLOOR SCALE ASM, 20"" X 20"", INFINITI BAT"
$3500,42.4,45.1,January 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
$5860,34.6,28.1,January 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
,,32.4,January 2018,"920302-BENCH SCALE, 8""x8"", INFINITI, LED, SWIVE"
,,24.0,January 2018,"920387-FLOOR SCALE ASM, 24"" X 24"", INFINITI"
$3824,60.0,,February 2018,"807323-FLOOR SCALE ASM 16"" X 16"" INFINITI"
$10096,41.1,40.0,February 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
,,41.9,February 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
$0,,,February 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,,February 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
,,27.3,February 2018,"920227-FLOOR SCALE ASM, 20"" X 20"", INFINITI BAT"
,,40.0,February 2018,"920302-BENCH SCALE, 8""x8"", INFINITI, LED, SWIVE"
,,26.7,March 2018,"801716-GRAM SCALE ASM, 8"" X 8"", 5KG, INFINITI,"
,,29.0,March 2018,"801988-FLOOR SCALE ASM, 5' X 5', 4K, SS, SMOOTH"
,,43.5,March 2018,"806121-DURAWEIGH BENCH SCALE 16"" X 16"", CONE"
,,25.5,March 2018,"806894-FLOOR SCALE, 48""X48"", 10K"
,,45.8,March 2018,"806913-RAMP, 48""X48"""
$0,,40.0,March 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
$0,,,March 2018,920108GII-DURAWEIGH BENCH SCALE 8 X 8 INFINITI GII
,,44.4,March 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,30.2,March 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
$0,,45.1,March 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
$0,,,March 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
,,35.7,March 2018,"920302-BENCH SCALE, 8""x8"", INFINITI, LED, SWIVE"
,,13.6,April 2018,803013-BENCH SCALE 5000gm A&D
,,25.5,April 2018,"806894-FLOOR SCALE, 48""X48"", 10K"
,,45.8,April 2018,"806913-RAMP, 48""X48"""
,,29.4,April 2018,"807725-FLOOR SCALE ASM, 20X20, SERIAL CABLE"
,,42.5,April 2018,"809109-SCALE ASM, CASE LABEL, INFINITI"
$0,,,April 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
,,29.4,April 2018,"920113-DURAWEIGH SCALE , 8"" X 8"", GII, BATT"
$0,,42.1,April 2018,"920115-DURAWEIGH BENCH SCALE, 10"" X10"", INFINIT"
$0,,44.4,April 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,40.2,April 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
$0,,34.3,April 2018,"920227-FLOOR SCALE ASM, 20"" X 20"", INFINITI BAT"
,,59.1,April 2018,"920247-BENCH SCALE ASM, 16"" X16"", INFINITI BATT"
,,32.4,April 2018,"920302-BENCH SCALE, 8""x8"", INFINITI, LED, SWIVE"
,,38.6,May 2018,"801717-BENCH SCALE ASM, 8"" X 8"", 5KG, INFINITI,"
,,50.1,May 2018,803105-FLOOR SCALE ASM OH 5' X 5' 5K LED
,,53.8,May 2018,"811562-YP TENDER SCALE ASM 20"" X 20"" B&R PP65"
,,48.2,May 2018,"811570-DECK WELDMENT EXT, W60"", L48"", H3.25"""
,,60.5,May 2018,"910165-RAMP WELDMENT, W60"", L48"", H3.25"", DURAW"
$0,,44.3,May 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
$0,,44.4,May 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
,,46.2,May 2018,"920117-DURAWEIGH SCALE, 12"" X12"", GII, BATT"
$0,,30.2,May 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
,,50.7,May 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
,,59.1,May 2018,"920247-BENCH SCALE ASM, 16"" X16"", INFINITI BATT"
,,28.1,May 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
,,26.7,June 2018,"801716-GRAM SCALE ASM, 8"" X 8"", 5KG, INFINITI,"
$0,,,June 2018,803105-FLOOR SCALE ASM OH 5' X 5' 5K LED
$0,,,June 2018,"910147-FLOOR SCALE ASM, OH, 4' X 6', 5K, LED, W"
$0,,,June 2018,"910165-RAMP WELDMENT, W60"", L48"", H3.25"", DURAW"
$0,,,June 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
$0,,,June 2018,920108GII-DURAWEIGH BENCH SCALE 8 X 8 INFINITI GII
$0,,,June 2018,"920113-DURAWEIGH SCALE , 8"" X 8"", GII, BATT"
,,53.6,June 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
$0,,44.4,June 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,,June 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
,,34.3,June 2018,"920227-FLOOR SCALE ASM, 20"" X 20"", INFINITI BAT"
$0,,39.0,June 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
$0,,28.1,June 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
,,36.0,June 2018,"920278-BENCH SCALE ASM, 20""X20"", INFINITI, LED,"
,,26.7,July 2018,"801716-GRAM SCALE ASM, 8"" X 8"", 5KG, INFINITI,"
,,13.6,July 2018,803013-BENCH SCALE 5000gm A&D
,,41.0,July 2018,"811384-BENCH SCALE ASM 20"" X 20"" LED NO NECK"
$0,,40.0,July 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
,,53.6,July 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
$0,,,July 2018,"920115-DURAWEIGH BENCH SCALE, 10"" X10"", INFINIT"
$0,,,July 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
,,34.3,July 2018,"920227-FLOOR SCALE ASM, 20"" X 20"", INFINITI BAT"
,,45.1,July 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
$0,,28.1,July 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
,,29.3,August 2018,"801716-GRAM SCALE ASM, 8"" X 8"", 5KG, INFINITI,"
$0,,,August 2018,803105-FLOOR SCALE ASM OH 5' X 5' 5K LED
$0,,,August 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
,,41.9,August 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
$0,,44.4,August 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,30.2,August 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
,,56.7,August 2018,"920247-BENCH SCALE ASM, 16"" X16"", INFINITI BATT"
,,28.1,August 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
,,29.3,September 2018,"801716-GRAM SCALE ASM, 8"" X 8"", 5KG, INFINITI,"
$0,,,September 2018,"910164-RAMP WELDMENT, W48"", L48"", H3.25"", DURAW"
$0,,40.0,September 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
$0,,,September 2018,920108GII-DURAWEIGH BENCH SCALE 8 X 8 INFINITI GII
$0,,,September 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
,,42.1,September 2018,"920115-DURAWEIGH BENCH SCALE, 10"" X10"", INFINIT"
$0,,,September 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,,September 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
$0,,45.1,September 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
$0,,,September 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
,,29.3,October 2018,"801716-GRAM SCALE ASM, 8"" X 8"", 5KG, INFINITI,"
,,32.4,October 2018,"812271-FLOOR SCALE, 48""X60"", 10K, SMOOTH"
$0,,,October 2018,"910164-RAMP WELDMENT, W48"", L48"", H3.25"", DURAW"
$0,,40.0,October 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
,,29.4,October 2018,"920113-DURAWEIGH SCALE , 8"" X 8"", GII, BATT"
,,41.9,October 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
$0,,44.4,October 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,,October 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
$0,,34.3,October 2018,"920227-FLOOR SCALE ASM, 20"" X 20"", INFINITI BAT"
,,45.1,October 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
,,30.4,October 2018,"920270-FLOOR SCALE ASM, 16"" X 16"", INFINITI, LE"
,,30.7,October 2018,"920387-FLOOR SCALE ASM, 24"" X 24"", INFINITI"
,,13.6,November 2018,803013-BENCH SCALE 5000gm A&D
,,22.4,November 2018,"807725-FLOOR SCALE ASM, 20X20, SERIAL CABLE"
$0,,,November 2018,"910164-RAMP WELDMENT, W48"", L48"", H3.25"", DURAW"
$0,,40.0,November 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
$0,,,November 2018,920108GII-DURAWEIGH BENCH SCALE 8 X 8 INFINITI GII
,,29.4,November 2018,"920113-DURAWEIGH SCALE , 8"" X 8"", GII, BATT"
,,41.9,November 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
,,42.1,November 2018,"920115-DURAWEIGH BENCH SCALE, 10"" X10"", INFINIT"
$0,,44.4,November 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,,November 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
$0,,45.1,November 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
$0,,,November 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
$0,,,December 2018,803105-FLOOR SCALE ASM OH 5' X 5' 5K LED
$0,,,December 2018,"807551-WEIGHBAR KIT, 2.5K, CONTROLLER"
,,40.9,December 2018,"810727-FLOOR SCALE ASM, 30""X30"", DRUM"
,,49.1,December 2018,"812295-FLOOR SCALE ASM, OH, 5' X 5', 5K, NO IND"
$0,,,December 2018,"910147-FLOOR SCALE ASM, OH, 4' X 6', 5K, LED, W"
$0,,,December 2018,"910164-RAMP WELDMENT, W48"", L48"", H3.25"", DURAW"
$0,,,December 2018,"910165-RAMP WELDMENT, W60"", L48"", H3.25"", DURAW"
$0,,38.8,December 2018,"920108-DURAWEIGH BENCH SCALE 8"" X 8"", INFINITI"
$0,,,December 2018,"920113-DURAWEIGH SCALE , 8"" X 8"", GII, BATT"
,,41.9,December 2018,"920114-DURAWEIGH SCALE, 10"" X10"", GII"
,,42.1,December 2018,"920115-DURAWEIGH BENCH SCALE, 10"" X10"", INFINIT"
$0,,100.0,December 2018,"920116-DURAWEIGH SCALE, 12"" X12"", GII, LED"
$0,,,December 2018,"920168-BENCH SCALE ASSEMBLY, 20"" X 20"", INFINIT"
,,45.1,December 2018,"920246-DURAWEIGH SCALE, 16"" X16"", GII, ENG"
$0,,,December 2018,"920251-FLOOR SCALE ASM 20"" X 20"" INFINITI LED"
